,index,fixture_id,rating,accurate_passes,start_time,home_name,away_name,home_goals,away_goals,dribble_success_percentage,duels_won_percentage,passing_accuracy,city,capacity,name_away,city_away,capacity_away,distance_traveled,CUM_HT_HW,CUM_HT_HL,CUM_HT_HD,CUM_HT_AW,CUM_HT_AL,CUM_HT_AD,CUM_AT_HW,CUM_AT_HL,CUM_AT_HD,CUM_AT_AW,CUM_AT_AL,CUM_AT_AD,H_GF_AH,H_GF_OTR,H_GA_AH,H_GA_OTR,A_GF_AH,A_GF_OTR,A_GA_AH,A_GA_OTR,home_mean_rating,home_min_rating,home_max_rating,home_std_rating,home_mean_tackles,home_min_tackles,home_max_tackles,home_std_tackles,home_mean_blocks,home_min_blocks,home_max_blocks,home_std_blocks,home_mean_interceptions,home_min_interceptions,home_max_interceptions,home_std_interceptions,home_mean_dribble_success_percentage,home_min_dribble_success_percentage,home_max_dribble_success_percentage,home_std_dribble_success_percentage,home_mean_duels_won_percentage,home_min_duels_won_percentage,home_max_duels_won_percentage,home_std_duels_won_percentage,home_mean_passing_accuracy,home_min_passing_accuracy,home_max_passing_accuracy,home_std_passing_accuracy,home_mean_key_passes,home_min_key_passes,home_max_key_passes,home_std_key_passes,home_mean_fouls_drawn,home_min_fouls_drawn,home_max_fouls_drawn,home_std_fouls_drawn,home_mean_fouls_committed,home_min_fouls_committed,home_max_fouls_committed,home_std_fouls_committed,away_mean_rating,away_min_rating,away_max_rating,away_std_rating,away_mean_tackles,away_min_tackles,away_max_tackles,away_std_tackles,away_mean_blocks,away_min_blocks,away_max_blocks,away_std_blocks,away_mean_interceptions,away_min_interceptions,away_max_interceptions,away_std_interceptions,away_mean_dribble_success_percentage,away_min_dribble_success_percentage,away_max_dribble_success_percentage,away_std_dribble_success_percentage,away_mean_duels_won_percentage,away_min_duels_won_percentage,away_max_duels_won_percentage,away_std_duels_won_percentage,away_mean_passing_accuracy,away_min_passing_accuracy,away_max_passing_accuracy,away_std_passing_accuracy,away_mean_key_passes,away_min_key_passes,away_max_key_passes,away_std_key_passes,away_mean_fouls_drawn,away_min_fouls_drawn,away_max_fouls_drawn,away_std_fouls_drawn,away_mean_fouls_committed,away_min_fouls_committed,away_max_fouls_committed,away_std_fouls_committed,home_top_scorer_1,home_top_scorer_2,home_top_scorer_3,home_top_scorer_4,home_top_scorer_5,home_top_scorer_6,home_top_scorer_7,home_top_scorer_8,home_top_scorer_9,home_top_scorer_10,home_top_scorer_11,home_goals_dist_skewness,home_goals_0.25_quant,home_goals_0.5_quant,home_goals_0.75_quant,home_top_assistor_1,home_top_assistor_2,home_top_assistor_3,home_top_assistor_4,home_top_assistor_5,home_top_assistor_6,home_top_assistor_7,home_top_assistor_8,home_top_assistor_9,home_top_assistor_10,home_top_assistor_11,home_assists_dist_skewness,home_assists_0.25_quant,home_assists_0.5_quant,home_assists_0.75_quant,away_top_scorer_1,away_top_scorer_2,away_top_scorer_3,away_top_scorer_4,away_top_scorer_5,away_top_scorer_6,away_top_scorer_7,away_top_scorer_8,away_top_scorer_9,away_top_scorer_10,away_top_scorer_11,away_goals_dist_skewness,away_goals_0.25_quant,away_goals_0.5_quant,away_goals_0.75_quant,away_top_assistor_1,away_top_assistor_2,away_top_assistor_3,away_top_assistor_4,away_top_assistor_5,away_top_assistor_6,away_top_assistor_7,away_top_assistor_8,away_top_assistor_9,away_top_assistor_10,away_top_assistor_11,away_assists_dist_skewness,away_assists_0.25_quant,away_assists_0.5_quant,away_assists_0.75_quant,club_history_home_wins,club_history_away_wins,club_history_draws
0,0,192904,,73.0,2015-01-31 12:30:00,Chelsea,Manchester City,1,1,,0.5,6.636,London,41841,Etihad Stadium,Manchester,55097,162.38830980957493,,,,,,,,,,,,,,,,,,,,,,,,,2.2857142857142856,1.0,7.0,2.2146697055682827,0.2857142857142857,0.0,2.0,0.6112498455021266,0.7943001443001443,0.0,2.5454545454545454,1.0234105693815028,0.24546666666666672,0.0,0.52,0.4038344513785606,0.6891240842490843,0.4422,0.9382999999999999,0.2443581829559006,3.358484054834055,2.3317272727272726,5.551545454545455,1.255534180034565,0.26666666666666666,0.0,0.9090909090909091,0.5032992115821179,0.44498556998557,0.0,1.9090909090909092,0.8221977108346848,0.5722943722943723,0.0,2.090909090909091,0.9730232309781724,,,,,,,,,,,,,0.41279216814931097,0.0,2.0714285714285716,0.7566172508694736,0.6898783730158731,0.22208333333333333,0.9166666666666666,0.3680145765117219,0.4469336554318697,0.07142857142857142,0.9047857142857143,0.31070861454852394,11.286943628380167,2.9059230769230764,30.638384615384606,12.379977360401,0.5175310800310802,0.0,2.0,0.7969526904155377,0.5564181849896136,0.0,1.4285714285714286,0.7143162471994617,0.6217490842490843,0.0,3.0,1.0842047204636922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,1,192905,,88.0,2015-02-01 08:30:00,Arsenal,Aston Villa,5,0,0.333,0.4,5.867,London,60383,Villa Park,Birmingham,42788,100.43064783223295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0151875901875902,0.0,3.3636363636363638,1.4732809333584886,0.5742993506493506,0.18163636363636365,0.8527272727272727,0.3818872684613839,0.5135968975468975,0.36363636363636365,0.6808181818181819,0.1255141348564203,3.6611805916305915,1.8623636363636364,8.363909090909091,2.5675855445846123,1.1236291486291485,0.0,3.1818181818181817,1.4097158191517984,1.1154401154401155,0.36363636363636365,2.0,0.8292452540351988,0.4968975468975469,0.0,2.3636363636363638,0.9949780369272766,,,,,,,,,,,,,0.6671023421023421,0.0,2.142857142857143,0.8955727154001332,0.7857380952380953,0.42857142857142855,1.0,0.55681653772095,0.2940186926169069,0.02378571428571429,0.6266428571428572,0.2684865314987952,5.262659628070343,2.485357142857143,11.666642857142858,4.090847836226404,0.16220069612926755,0.0,1.1428571428571428,0.4100788823279241,0.3436117453974597,0.0,1.7857142857142858,0.7387931943915935,0.6603537335680193,0.0,1.2857142857142858,0.5735484764963437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
2,2,192966,,95.0,2015-03-16 16:00:00,Swansea,Liverpool,0,1,,1.0,4.524,Swansea,21028,Anfield,Liverpool,55212,130.34081527015965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.178632478632479,0.18181818181818182,5.909090909090909,2.249854544571231,0.6133621212121212,0.3181818181818182,0.8181818181818182,0.3540954622876984,0.5689616981503346,0.38863636363636367,0.7359090909090908,0.16113275880225444,2.8075152514152517,1.5655454545454546,7.9866363636363635,2.2700087281221046,0.49079531579531577,0.09090909090909091,1.2727272727272727,0.6502800399907993,1.0378787878787878,0.18181818181818182,2.6363636363636362,1.079804877038837,1.2604811854811855,0.18181818181818182,3.272727272727273,1.4536641482696155,,,,,,,,,,,,,0.8771478521478522,0.07692307692307693,2.0,0.8309091076815956,0.5494852813852814,0.16654545454545455,0.8363636363636363,0.30675357976878576,0.6167405372405373,0.31576923076923075,0.9807692307692307,0.3427109900768208,10.906276856476858,2.0670769230769226,45.194153846153846,18.718095282919872,0.9732378732378734,0.0,2.923076923076923,1.3243690354122533,1.3533022533022534,0.15384615384615385,3.923076923076923,1.4285227646750187,0.7398129648129649,0.0,2.5384615384615383,1.2194721562029418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
3,3,192297,,93.0,2015-08-08 07:45:00,Manchester United,Tottenham,1,0,,0.5,1.661,Manchester,76212,Tottenham Hotspur Stadium,London,62850,,,,,,,,,,,,,,,,,,,,,,,,,,3.0352813852813854,1.9090909090909092,4.636363636363637,1.3752553722079393,0.2567821067821068,0.0,0.8181818181818182,0.45077247407284415,1.0573593073593073,0.0,2.8181818181818183,1.3830582682204704,0.0676875,0.0,0.1875,0.1013819365422386,0.6583390442890443,0.42254545454545467,0.9636363636363636,0.2630400409622404,3.2318383477633477,2.0481818181818183,7.287636363636364,1.851513335333641,0.4077922077922078,0.09090909090909091,1.2727272727272727,0.5844422040831652,0.7135281385281385,0.09090909090909091,1.6363636363636365,0.7585705104326389,0.567929292929293,0.0,2.727272727272727,1.07663282851245,,,,,2.0994897959183674,1.0,4.0,1.9192916880213802,0.5440945958803101,0.14285714285714285,1.7857142857142858,0.7082440438564082,2.0080677259248687,0.6428571428571429,3.7857142857142856,1.2473883448076306,0.6790674603174603,0.4166666666666667,1.0,0.5218587486850679,0.517991181041181,0.3767857142857144,0.7547857142857144,0.15371632430093873,4.704386016959232,1.8001428571428575,13.954357142857143,4.510962698345665,0.1386960261960262,0.0,0.8571428571428571,0.30571922365150783,0.3650167293024436,0.0,1.0714285714285714,0.44618165334743254,0.9960103388674817,0.07142857142857142,2.357142857142857,0.8786826915487308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,4,192300,,82.0,2015-08-08 10:00:00,Leicester,Sunderland,4,2,0.667,0.667,2.158,"Leicester, Leicestershire",34310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9900432900432903,1.6363636363636365,2.6363636363636362,0.5161031056236156,0.08596681096681097,0.0,0.5454545454545454,0.23419501042554391,1.6991702741702739,0.36363636363636365,3.6363636363636362,1.5024138234326132,0.39999999999999997,0.1111111111111111,0.6666666666666666,0.2674625915724658,0.46591536796536803,0.3484545454545455,0.6591818181818183,0.14188511566064446,4.36862334054834,2.767727272727272,6.145454545454545,1.6406709365564112,1.7508297258297256,0.0,4.090909090909091,1.8032992067281708,1.5511183261183263,0.0,3.090909090909091,1.585498876238082,1.5339466089466092,0.45454545454545453,2.909090909090909,1.1654361468772492,,,,,1.9880952380952381,1.25,2.75,0.8834849192764345,0.40843323343323334,0.0,1.6153846153846154,0.7147289498480992,0.84529082029082,0.0,2.6923076923076925,1.2376527283907086,0.5862777777777778,0.36125000000000007,0.778,0.38331066273811376,0.48457963147963146,0.109,0.7058461538461537,0.23947748039724684,4.608477886002886,2.498692307692308,7.485230769230768,2.3360284257728745,1.4148018648018648,0.38461538461538464,4.6923076923076925,1.9338527637261642,1.3223470973470972,0.38461538461538464,2.769230769230769,1.093567894030695,1.4094433344433346,0.0,4.3076923076923075,1.8850035073819607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,5,192301,,65.0,2015-08-08 10:00:00,Everton,Watford,2,2,,,5.0,Liverpool,40569,Vicarage Road,Watford,22200,164.38308923042874,,,,,,,,,,,,,,,,,,,,,,,,,2.789166666666666,1.6,4.2,1.587446251395303,0.24098124098124094,0.0,1.0,0.5049305949909132,1.2386002886002887,0.0,4.0,1.8333532642927317,0.24578333333333333,0.0,0.55,0.33252738165057416,0.4236507844932845,0.22519999999999998,0.6144999999999999,0.16244158597603728,3.50613740981241,1.868636363636363,6.060636363636363,1.9017695692020424,0.6597763347763348,0.0,2.1818181818181817,0.8869499813446685,0.6392857142857142,0.0,1.6363636363636365,0.8300561725178632,0.32175324675324674,0.0,1.0,0.5046890471962985,,,,,3.2793253968253966,1.7,5.4,1.666600086608693,0.126282844139987,0.0,1.1428571428571428,0.394435096340911,1.2942807192807193,0.0,3.9285714285714284,1.6259005638717114,0.7696776360544219,0.28564285714285714,1.0,0.3421792795570665,0.49816654040404046,0.30921428571428583,0.7756428571428572,0.19114486794101196,9.92664698872556,5.317857142857144,16.01714285714286,4.840069288626318,0.5919489240917812,0.0,1.7857142857142858,0.678321970514015,0.44629933558504986,0.0,1.1428571428571428,0.6049679946150239,1.0462101390672818,0.14285714285714285,2.5714285714285716,0.8673728529792364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,6,192299,,90.0,2015-08-08 10:00:00,Norwich,Crystal Palace,1,3,,,9.0,"Norwich, Norfolk",27606,Selhurst Park,London,26309,95.1556004511025,,,,,,,,,,,,,,,,,,,,,,,,,2.284391534391534,1.3333333333333333,3.4444444444444446,1.0570425628985052,0.19292929292929292,0.0,0.9090909090909091,0.43252020382357115,0.36298701298701297,0.0,1.2727272727272727,0.5789709670942941,0.9409285714285716,0.8518888888888889,1.0,0.35716236191733786,0.5858166774891775,0.3844,0.8856999999999999,0.22005424325735887,3.876958766233766,2.230363636363637,8.40609090909091,2.240931454700453,0.6471139971139971,0.0,2.0,1.0755374876385375,0.8265151515151515,0.0,2.0,0.7745738875470888,0.35757575757575755,0.0,1.7272727272727273,0.6455028977375391,,,,,2.015151515151515,1.1818181818181819,3.5454545454545454,1.131367850381602,0.09339033981891125,0.0,0.7142857142857143,0.2491395731808746,0.5963143998858286,0.0,2.7142857142857144,0.996981952701222,0.5067765567765568,0.0,0.8461538461538461,0.5146162023511273,0.39032884615384617,0.025615384615384616,0.5764615384615385,0.22392772750427134,10.509462738253813,4.1785000000000005,29.24492857142857,9.262135622205621,0.5231956535527965,0.0,2.0,0.9337235968934093,0.5407828282828283,0.0,1.9285714285714286,0.7246613696062899,0.8423734995163566,0.0,2.2857142857142856,0.9169533232458206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,7,192298,,80.0,2015-08-08 10:00:00,Bournemouth,Aston Villa,0,1,0.333,0.5,3.81,"Bournemouth, Dorset",12000,Villa Park,Birmingham,42788,,,,,,,,,,,,,,,,,,,,,,,,,,1.5696428571428573,1.0,3.4,1.1495402907913517,0.3227994227994228,0.09090909090909091,1.0909090909090908,0.49546388779375067,0.9237734487734488,0.0,2.272727272727273,1.0432452553720555,0.26580086580086576,0.0,0.8181818181818182,0.454088249979951,0.36802067932067933,0.19027272727272726,0.5492727272727272,0.16099406785560172,4.5347244949494945,2.3767272727272726,8.221272727272726,2.446679049239184,0.7396464646464647,0.0,3.090909090909091,1.2909407534485773,1.3545454545454545,0.7272727272727273,2.090909090909091,0.5987851121691411,1.7808802308802307,0.45454545454545453,3.727272727272727,1.4248823486848383,,,,,2.6154761904761905,1.9285714285714286,3.857142857142857,1.1525973162594607,0.07496808746808747,0.0,0.42857142857142855,0.18349632011163602,1.783453451310594,0.0,4.214285714285714,1.6441420840938485,0.5381799319727891,0.21407142857142863,0.8332857142857143,0.3374717667722616,0.5048648964131107,0.3722857142857143,0.6851428571428572,0.13614153323590447,4.7174374512392365,2.657142857142856,9.923285714285713,2.777387050362474,0.3311436579293722,0.0,0.8571428571428571,0.49636102148840594,1.368516007801722,0.35714285714285715,3.4285714285714284,1.170495491168344,0.6595848595848596,0.0,1.8571428571428572,0.8097364957953469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
8,8,192302,,85.0,2015-08-08 12:30:00,Chelsea,Swansea,2,2,,0.636,3.542,London,41841,Swansea.com Stadium,Swansea,21028,161.42163213336187,,,,,,,,,,,,,,,,,,,,,,,,,2.2181818181818183,1.6363636363636365,2.6363636363636362,0.6204727891125686,1.0131673881673882,0.45454545454545453,1.8181818181818181,0.711703825900738,1.4248196248196248,0.36363636363636365,3.727272727272727,1.4130163457683236,0.8297251082251083,0.6948181818181818,0.9090909090909091,0.12350314767097521,0.47077247474747463,0.21836363636363637,0.6642727272727272,0.1820040845996524,6.684739574314574,2.7915454545454548,15.989909090909093,6.984979591248882,0.32882395382395385,0.0,1.7272727272727273,0.7047719146178556,0.788888888888889,0.0,1.8181818181818181,0.9247455612556703,1.2200577200577198,0.5454545454545454,1.9090909090909092,0.689152290926929,,,,,2.2840964590964594,1.3076923076923077,3.923076923076923,1.284277501934001,0.173664232592804,0.0,0.8571428571428571,0.3992539305346752,1.1985046699332413,0.2857142857142857,2.857142857142857,1.1002955170731148,0.6348669913419914,0.33345454545454545,0.8258181818181818,0.27401116880166476,0.5560053527821386,0.28314285714285714,0.7360714285714287,0.17465672862355794,4.607057283589427,2.423428571428572,9.046000000000001,2.5784008811930947,0.8139215942787371,0.0,4.285714285714286,1.6496866233412273,0.6264085121227979,0.0,1.8571428571428572,0.8164431143369869,1.1449724878296308,0.35714285714285715,1.7857142857142858,0.583672625043167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3166247903554003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
9,9,192303,,88.0,2015-08-09 08:30:00,Newcastle,Southampton,2,2,1.0,0.5,1.571,Newcastle upon Tyne,52758,St. Mary's Stadium,"Southampton, Hampshire",32689,,,,,,,,,,,,,,,,,,,,,,,,,,2.2033333333333336,1.5,3.0,0.7749506553856532,0.24816017316017316,0.0,0.7272727272727273,0.39936991794828763,1.336002886002886,0.0,4.0,1.8745852062958677,0.5757135714285714,0.23310000000000003,0.8666,0.3649499504779724,0.4873649603174603,0.24380000000000007,0.6802000000000001,0.15626891004359342,2.7190577561327562,1.7956363636363633,5.536545454545455,1.321660954532779,0.40284992784992785,0.0,1.5454545454545454,0.6134027315978907,0.6190115440115439,0.0,2.0,0.9158438940775756,0.5289682539682539,0.0,1.3636363636363635,0.6533826487494718,,,,,2.5444444444444447,1.1666666666666667,3.8333333333333335,1.4366746814655416,0.2817543567543567,0.07692307692307693,0.9230769230769231,0.42944989637549486,2.600788100788101,0.46153846153846156,4.615384615384615,1.8412555920713638,0.629547435897436,0.23076923076923078,0.9743846153846154,0.5195188537287725,0.5531040265290266,0.3076923076923077,0.9359230769230769,0.2583005106690999,7.451531804306803,1.7578461538461545,16.724384615384615,7.306813090862787,1.076162726162726,0.23076923076923078,3.923076923076923,1.5810123573616328,0.8398601398601399,0.07692307692307693,2.230769230769231,0.8300021991836757,0.7320818070818069,0.07692307692307693,1.7692307692307692,0.7938169887958001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
